original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,attack,dataset,words,nr_perturbations,len_sentence,perturbation_percentage
"[[Friendly]] staff, same starbucks fair you get anywhere else.  [[Sometimes]] the lines can get long.","[[a]] staff, same starbucks fair you get anywhere else.  [[some]] the lines can get long.",0.0006849765777587,0.6697428226470947,1,0,1,30,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[a]]', 'staff,', 'same', 'starbucks', 'fair', 'you', 'get', 'anywhere', 'else.', '[[some]]', 'the', 'lines', 'can', 'get', 'long.']",2,15,13.333333333333334
Good [[quality]] pork fried dumpling and mongo beef.  Bar service was fast and Efficent.   Good value.  Not a [[5]] [[cause]] dragon eye tea was cold first time around and beef had minor amount of fat.   [[Fortune]] was [[even]] Postive!,Good [[standard]] pork fried dumpling and mongo beef.  Bar service was fast and Efficent.   Good value.  Not a [[4]] [[share]] dragon eye tea was cold first time around and beef had minor amount of fat.   [[what]] was [[of]] Postive!,0.0001485347747802,0.810274600982666,1,0,1,73,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Good', '[[standard]]', 'pork', 'fried', 'dumpling', 'and', 'mongo', 'beef.', 'Bar', 'service', 'was', 'fast', 'and', 'Efficent.', 'Good', 'value.', 'Not', 'a', '[[4]]', '[[share]]', 'dragon', 'eye', 'tea', 'was', 'cold', 'first', 'time', 'around', 'and', 'beef', 'had', 'minor', 'amount', 'of', 'fat.', '[[what]]', 'was', '[[of]]', 'Postive!']",5,39,12.82051282051282
"Very [[bad]] purchase experience. [[I]] bought a [[shirt]] with a hole covered in the [[rolled]] up sleeves, but they denied my [[request]] to [[return]] it. [[I]] am so [[angery]] at this and will never shop their chothes [[anymore]].","Very [[great]] purchase experience. [[we]] bought a [[clothes]] with a hole covered in the [[crossed]] up sleeves, but they denied my [[wish]] to [[change]] it. [[she]] am so [[angere]] at this and will never shop their chothes [[lot]].",0.0001503229141235,0.8425037860870361,0,1,0,108,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Very', '[[great]]', 'purchase', 'experience.', '[[we]]', 'bought', 'a', '[[clothes]]', 'with', 'a', 'hole', 'covered', 'in', 'the', '[[crossed]]', 'up', 'sleeves,', 'but', 'they', 'denied', 'my', '[[wish]]', 'to', '[[change]]', 'it.', '[[she]]', 'am', 'so', '[[angere]]', 'at', 'this', 'and', 'will', 'never', 'shop', 'their', 'chothes', '[[lot]].']",8,38,21.052631578947366
[[Love]] this beer [[distributor]].  [[They]] always have what I'm looking for. The workers are extremely nice and always willing to help. [[Best]] one I've [[seen]] by far.,[[hate]] this beer [[company]].  [[there]] always have what I'm looking for. The workers are extremely nice and always willing to help. [[last]] one I've [[been]] by far.,0.000144600868225,0.7221328020095825,1,0,1,80,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[hate]]', 'this', 'beer', '[[company]].', '[[there]]', 'always', 'have', 'what', ""I'm"", 'looking', 'for.', 'The', 'workers', 'are', 'extremely', 'nice', 'and', 'always', 'willing', 'to', 'help.', '[[last]]', 'one', ""I've"", '[[been]]', 'by', 'far.']",4,27,14.814814814814813
I went there today! The cut was [[terrible]]! I have an awful experience. They lady that cut my [[hair]] was nice but she wanted to leave [[early]] so she made a [[disaster]] in my head!,I went there today! The cut was [[great]]! I have an awful experience. They lady that cut my [[cut]] was nice but she wanted to leave [[earlier]] so she made a [[thing]] in my head!,0.0001503229141235,0.68867027759552,0,1,0,70,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['I', 'went', 'there', 'today!', 'The', 'cut', 'was', '[[great]]!', 'I', 'have', 'an', 'awful', 'experience.', 'They', 'lady', 'that', 'cut', 'my', '[[cut]]', 'was', 'nice', 'but', 'she', 'wanted', 'to', 'leave', '[[earlier]]', 'so', 'she', 'made', 'a', '[[thing]]', 'in', 'my', 'head!']",3,35,8.571428571428571
"I'm a creature of [[habit--I've]] been getting a [[savory]] and sweet item each time I'm around the neighborhood. White lily cake is [[divine]]! [[Quiches]] [[always]] [[tasty]]. [[Macarons]] are [[alittle]] too sweet. I wish the cake [[slices]] weren't $4/pop. Otherwise, would be a [[regular]] here.","I'm a creature of [[habit--i't]] been getting a [[savorty]] and sweet item each time I'm around the neighborhood. White lily cake is [[sweet]]! [[quimes]] [[have]] [[tabite]]. [[macaros]] are [[lin]] too sweet. I wish the cake [[bites]] weren't $4/pop. Otherwise, would be a [[delight]] here.",0.0001459121704101,0.5166234374046326,1,0,1,114,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"[""I'm"", 'a', 'creature', 'of', ""[[habit--i't]]"", 'been', 'getting', 'a', '[[savorty]]', 'and', 'sweet', 'item', 'each', 'time', ""I'm"", 'around', 'the', 'neighborhood.', 'White', 'lily', 'cake', 'is', '[[sweet]]!', '[[quimes]]', '[[have]]', '[[tabite]].', '[[macaros]]', 'are', '[[lin]]', 'too', 'sweet.', 'I', 'wish', 'the', 'cake', '[[bites]]', ""weren't"", '$4/pop.', 'Otherwise,', 'would', 'be', 'a', '[[delight]]', 'here.']",8,44,18.181818181818183
"Overpriced, [[salty]] and [[overrated]]!!! Why this place is so popular I will never understand.","Overpriced, [[delicious]] and [[overall]]!!! Why this place is so popular I will never understand.",0.000149130821228,0.9989098906517028,0,1,0,29,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['Overpriced,', '[[delicious]]', 'and', '[[overall]]!!!', 'Why', 'this', 'place', 'is', 'so', 'popular', 'I', 'will', 'never', 'understand.']",1,14,7.142857142857142
"[[This]] Valentines Day I ordered a pizza for my boyfriend and asked that they [[make]] a heart on it out of green peppers. The [[pizza]] was great, the [[heart]] was [[perfect]], and he loved it!","[[the]] Valentines Day I ordered a pizza for my boyfriend and asked that they [[put]] a heart on it out of green peppers. The [[salad]] was great, the [[tomato]] was [[horrible]], and he loved it!",0.000145673751831,0.9961479306221008,1,0,1,70,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[the]]', 'Valentines', 'Day', 'I', 'ordered', 'a', 'pizza', 'for', 'my', 'boyfriend', 'and', 'asked', 'that', 'they', '[[put]]', 'a', 'heart', 'on', 'it', 'out', 'of', 'green', 'peppers.', 'The', '[[salad]]', 'was', 'great,', 'the', '[[tomato]]', 'was', '[[horrible]],', 'and', 'he', 'loved', 'it!']",4,35,11.428571428571429
"[[Fun]] bar, and [[instead]] of typical bar food they lean towards Greek dishes. The blue grass jam on Wednesdays is a lot of fun and not too loud to [[still]] enjoy a conversation. Decent beer prices, pretty good selection.","[[to]] bar, and [[way]] of typical bar food they lean towards Greek dishes. The blue grass jam on Wednesdays is a lot of fun and not too loud to [[even]] enjoy a conversation. Decent beer prices, pretty good selection.",0.0001626014709472,0.9047844409942628,1,0,1,60,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[to]]', 'bar,', 'and', '[[way]]', 'of', 'typical', 'bar', 'food', 'they', 'lean', 'towards', 'Greek', 'dishes.', 'The', 'blue', 'grass', 'jam', 'on', 'Wednesdays', 'is', 'a', 'lot', 'of', 'fun', 'and', 'not', 'too', 'loud', 'to', '[[even]]', 'enjoy', 'a', 'conversation.', 'Decent', 'beer', 'prices,', 'pretty', 'good', 'selection.']",3,39,7.6923076923076925
"[[First]] time customer today.  It is truly a dive but the [[sandwiches]] are [[great]].  Large [[portions]], fresh bread and cheap...","[[only]] time customer today.  It is truly a dive but the [[ribs]] are [[good]].  Large [[fish]], fresh bread and cheap...",0.0001574754714965,0.539769172668457,1,0,1,47,Successful,BERTAttackLi2020,yelp_polarity_adv/batch3,"['[[only]]', 'time', 'customer', 'today.', 'It', 'is', 'truly', 'a', 'dive', 'but', 'the', '[[ribs]]', 'are', '[[good]].', 'Large', '[[fish]],', 'fresh', 'bread', 'and', 'cheap...']",2,20,10.0
